delta,alpha_-20deg,alpha_-19deg,alpha_-18deg,alpha_-17deg,alpha_-16deg,alpha_-15deg,alpha_-14deg,alpha_-13deg,alpha_-12deg,alpha_-11deg,alpha_-10deg,alpha_-9deg,alpha_-8deg,alpha_-7deg,alpha_-6deg,alpha_-5deg,alpha_-4deg,alpha_-3deg,alpha_-2deg,alpha_-1deg,alpha_0deg,alpha_1deg,alpha_2deg,alpha_3deg,alpha_4deg,alpha_5deg,alpha_6deg,alpha_7deg,alpha_8deg,alpha_9deg,alpha_10deg,alpha_11deg,alpha_12deg,alpha_13deg,alpha_14deg,alpha_15deg,alpha_16deg,alpha_17deg,alpha_18deg,alpha_19deg,alpha_20deg
-0.1,,,,,,,,,,,0.06672,0.05424,0.04529,0.03899,0.03435,0.03053,0.02731,0.02475,0.02268,0.02089,0.01948,0.01829,0.01726,0.01626,0.01516,0.01353,0.00862,0.00938,,0.01802,0.01849,0.01735,0.0158,0.01611,0.01785,0.02124,0.02558,0.02902,0.0326,0.03898,0.04728
-0.09,,,,,,,,,,0.14182,0.05874,0.04718,0.03986,0.03492,0.03057,0.02706,0.02422,0.02183,0.01989,0.01821,0.01688,0.01571,0.01468,0.0137,0.01262,0.00874,0.00829,0.01086,0.01427,0.01626,0.01541,0.01498,0.01501,0.01582,0.01767,0.0214,0.02536,0.02962,,0.04335,0.05263
-0.08,,,,,,,,,,0.06656,0.04961,0.04125,0.03577,0.03088,0.02751,0.02436,0.02172,0.01936,0.01757,0.016,0.01466,0.01358,0.01261,0.01168,0.01055,,,0.01211,0.01373,0.01381,0.01347,0.01347,0.01406,0.01577,0.01818,0.02207,0.02686,0.03206,0.03934,0.04851,0.05923
-0.07,,,,,,,,,,0.05272,0.04337,0.03691,0.03144,0.02799,0.02463,0.02184,0.01951,0.01737,0.01567,0.01417,0.01293,0.01192,0.01101,0.01015,0.00765,0.00792,0.01033,0.01169,0.01284,0.01245,,0.01266,0.01397,0.01633,0.01897,0.02309,0.02858,0.03529,0.04407,0.05484,0.06756
-0.06,,,,,,,,,0.13018,0.04685,0.03837,0.03227,0.02844,0.02481,0.02187,0.01945,0.01741,0.01555,0.01402,0.01272,,0.01075,0.00996,0.0091,0.00705,0.00852,0.00995,0.01091,0.01136,0.0113,0.01156,0.01257,0.01468,0.01713,0.02018,0.02488,0.03127,0.03955,0.04964,0.06054,0.07218
-0.05,0.28287,0.27084,0.25782,0.24804,,,,,0.05418,0.04014,0.0333,0.02898,0.02505,0.02192,0.01937,0.01726,0.0154,0.01386,0.01256,0.01147,0.01052,0.00975,0.00904,0.00644,0.00771,0.00897,0.00971,0.01026,0.01031,0.01058,0.01142,0.01328,0.01576,0.0184,0.02174,0.02751,0.03362,0.04138,0.05118,0.06293,0.07588
-0.04,0.2471,0.23655,,0.21524,,,,0.07539,0.04179,0.03428,0.0295,0.02534,0.02195,0.01927,0.0171,0.01528,0.01376,0.01241,0.0113,0.01034,0.00956,0.00892,0.00814,0.00684,0.00809,,0.00913,0.00932,0.00957,0.01034,0.01206,0.01458,0.01699,0.01967,0.02309,0.02845,0.03604,,0.05653,0.06955,0.08428
-0.03,,,,,,,,,,,,,,0.01689,0.01508,0.01348,0.01221,0.01112,0.0102,0.00941,0.00878,0.00821,0.0063,0.00723,0.0079,0.00817,0.00837,0.00872,0.00936,0.01071,0.01301,0.01547,0.01779,0.02063,0.02551,0.03198,0.04053,0.05129,0.06417,0.07887,0.09422
-0.02,,,,,,,,0.04341,0.03155,0.0266,0.02227,0.01902,0.01652,0.01474,0.01316,0.01189,0.01086,0.00998,0.00926,,0.00815,0.00722,0.00659,0.00719,0.00748,0.00779,0.00822,0.00879,0.00981,0.01169,0.01422,0.01677,0.01951,0.02356,0.0295,0.03701,0.04694,0.05927,0.07328,0.08887,0.10516
-0.01,,,,,,,0.09576,0.03604,0.02792,0.02427,0.02025,0.01704,0.01455,0.01291,0.01156,0.01048,0.00965,0.00899,0.00846,0.00802,0.00761,0.0062,0.0067,0.00708,0.00752,0.00804,0.00863,0.00945,0.01102,0.01356,0.01632,0.01907,0.0226,0.02753,0.03418,0.04302,0.05442,0.06826,0.08353,0.10011,0.11655
0.0,0.2243,0.21153,,0.18823,0.17541,,0.09082,0.09262,0.02605,,0.01803,0.01539,0.0133,0.01174,0.0104,0.00943,0.00868,0.00813,0.00775,0.00749,0.0068,0.00641,0.00692,0.00746,0.00805,0.0087,0.00948,0.01078,0.01312,0.01599,0.01886,0.02215,0.02647,0.03226,0.0401,0.05039,0.06327,0.07851,0.09479,0.11184,0.12815
0.01,,,,,,,0.05741,0.02907,0.02356,0.01973,0.01677,0.01444,0.01248,0.01103,0.00984,0.0089,0.00815,0.00757,0.00718,0.0069,0.00674,0.00681,0.00747,0.00815,0.00885,0.00967,0.01076,0.01277,0.01573,0.01883,0.02211,0.02616,0.03142,0.03811,0.04724,0.05911,0.07369,0.08959,0.10667,0.12325,0.13996
