delta,alpha_-20.0deg,alpha_-19.0deg,alpha_-18.0deg,alpha_-17.0deg,alpha_-16.0deg,alpha_-15.0deg,alpha_-14.0deg,alpha_-13.0deg,alpha_-12.0deg,alpha_-11.0deg,alpha_-10.0deg,alpha_-9.0deg,alpha_-8.0deg,alpha_-7.0deg,alpha_-6.0deg,alpha_-5.0deg,alpha_-4.0deg,alpha_-3.0deg,alpha_-2.0deg,alpha_-1.0deg,alpha_0.0deg,alpha_1.0deg,alpha_2.0deg,alpha_3.0deg,alpha_4.0deg,alpha_5.0deg,alpha_6.0deg,alpha_7.0deg,alpha_8.0deg,alpha_9.0deg,alpha_10.0deg,alpha_11.0deg,alpha_12.0deg,alpha_13.0deg,alpha_14.0deg,alpha_15.0deg,alpha_16.0deg,alpha_17.0deg,alpha_18.0deg,alpha_19.0deg,alpha_20.0deg
-0.1,-1.314946677995635,-1.2851531991829677,-1.2548767807176298,-1.224235178849559,-1.1932867379138183,-1.1619484745525435,-1.129852978482132,-1.096830699960926,-1.0654753852042618,-1.0429118668883293,-1.2581132382890035,-1.47656898326187,-1.51930109222618,-1.5326252932892857,-1.5167911804271639,-1.4678984375077744,-1.389321329420242,-1.290591208512072,-1.1826349952367161,-1.0744337609802077,-0.970558074907339,-0.8722595797121055,-0.7799518149234071,-0.6907736700602874,-0.5902337946117118,-0.4962061614979603,-0.4702977851719719,-0.2724827534711536,-0.08678473938725317,0.059733385846128306,0.18590321546609068,0.30308147246030925,0.415384478220027,0.5397027409563948,0.6790919288051147,0.789532417664324,0.8758803907522723,0.9229314868971746,0.9218040186901355,0.8965417128877291,0.8781138797198929
-0.09000000000000001,-1.2561404143901904,-1.2250341308109123,-1.1938771752875363,-1.1627581884718654,-1.1315582962872923,-1.0999536505172247,-1.0674027502308752,-1.0342788895560864,-1.0074686690285461,-1.0140188061761204,-1.3789928287816622,-1.465460260229547,-1.4930687068819861,-1.4896220509136393,-1.455037575929078,-1.3899024810880962,-1.3012524835434287,-1.198266925718003,-1.0899708315749002,-0.9827787476003553,-0.879376596565256,-0.7809728837948751,-0.6876279787892922,-0.5928249604640303,-0.48130131494515926,-0.45103255595572644,-0.3195926742849341,-0.11296344923637636,0.047642985986792064,0.17865793489384807,0.2964481315269057,0.40805592978859145,0.5179389663427646,0.6440585030868513,0.7623384698832578,0.8622258056525246,0.9403491685078923,0.9774929200480156,0.9742841374512728,0.9653374467226021,0.9659345605229768
-0.08,-1.1943420401600533,-1.162720028761973,-1.130716636077817,-1.0986205785068557,-1.0667783117095602,-1.0349140830065822,-1.002339760270377,-0.9705832792803375,-0.9505136000428498,-1.1241034979515487,-1.3955591446479976,-1.4419658506438306,-1.451271833894829,-1.4282588020541171,-1.375010813217707,-1.2969497964690961,-1.20201864013336,-1.0976549450012196,-0.9903253221308808,-0.8838925164428462,-0.7802588044368668,-0.6804768553679017,-0.5838135431796195,-0.4784775761739749,-0.38757205129534056,-0.3419511678322412,-0.13766225954164701,0.03719256309452845,0.17671813277476478,0.2973469504014884,0.41013349564608104,0.5190763905224274,0.6309700245522526,0.7517466085187305,0.8595058609000331,0.9567203438349824,1.0289955673916278,1.0572633456175422,1.061562320935357,1.071199678893189,1.0836087490059179
-0.07,-1.127986421257988,-1.095452595726472,-1.06296052215649,-1.030854823112655,-0.9989099424716793,-0.966414540635731,-0.9338040111434203,-0.9083952916674723,-0.9193421570349746,-1.308240238904145,-1.3875779372029062,-1.408129691427117,-1.3921360411593984,-1.346461730061522,-1.2759865003414665,-1.1883763053508138,-1.0900556677273543,-0.9860894555761921,-0.8800033700432491,-0.7736756917022346,-0.6685484125269672,-0.5662049124410311,-0.46239715876444676,-0.3489271825820891,-0.30556768643096527,-0.15113928208868305,0.03145871635013775,0.1826916390954973,0.3107421357672171,0.4267336241709456,0.5384554752397753,0.6483008456897126,0.7628494608995656,0.8773893870662322,0.9845499280420498,1.0799601211609455,1.1398711532109422,1.1614622917756334,1.1772096952076168,1.1895843148128664,1.1893396571058223
-0.060000000000000005,-1.0584586701720662,-1.0253808080241442,-0.9921712163377906,-0.9590703025247466,-0.9262726801908128,-0.8938587536425315,-0.8634433372217727,-0.8493360078779416,-1.0177804000897943,-1.307425562263173,-1.3479223828647848,-1.3424538545494267,-1.3037187921180424,-1.2391146424602215,-1.1563253870676276,-1.0624644200357938,-0.9622225425064042,-0.8585060896224411,-0.7523956972945487,-0.6450430414921644,-0.5383169952662636,-0.43302070700459416,-0.3214756593258888,-0.2288953146951862,-0.14127286172059472,0.03720433506064208,0.19870815071618686,0.3380413982049275,0.46024959626937756,0.5753185265794083,0.6885477738358095,0.8005703258815733,0.9163205538815545,1.0302726965410354,1.1379388375204005,1.2197858272484967,1.2527231475707588,1.258107948059628,1.2528524387785083,1.2377103866472272,1.2143231745408856
-0.05,-0.9852743137124301,-0.951595794246531,-0.9179941708591657,-0.8845688185072974,-0.8511241202517695,-0.8179467954511264,-0.7921394208438546,-0.8110253081651171,-1.2049489299088456,-1.2801512415312915,-1.2862820836643172,-1.2523002312170002,-1.191174526547584,-1.11079773867627,-1.0189337227333424,-0.9205303907929507,-0.8184321989950627,-0.713334027083404,-0.6056592468060389,-0.4970385781725809,-0.38975571802549247,-0.280095416937605,-0.16667464301842538,-0.09469271359334175,0.06028558373014259,0.22666038268029143,0.37885917899373844,0.5111301908830632,0.6312120743302355,0.748012880828886,0.8634333246515655,0.9756106530329113,1.0893014715840406,1.193191846693128,1.2690295640910865,1.2934302178343038,1.2859245079006116,1.2743333209979175,1.2613484732601952,1.2454137684979956,1.2249378175391674
-0.04000000000000001,-0.9091802761666629,-0.8749995452088761,-0.8410846394911191,-0.8075514393041119,-0.7742381784391852,-0.7424902073888802,-0.7283832363030487,-0.8720061221982455,-1.1817221928484412,-1.2086807452869703,-1.1851767829065274,-1.1311502799250317,-1.054814913271441,-0.9643936893685106,-0.8667923362676582,-0.7656292209429194,-0.661496732899018,-0.5541941492068931,-0.44486372554652887,-0.33584730475668745,-0.22682694317853924,-0.11413472145935333,-0.015806368882205768,0.09967544741881129,0.26566813077896195,0.4285861628123804,0.5721894419190509,0.6978140749435122,0.8150385847113306,0.9287511318428375,1.0326490354957656,1.1265502303483645,1.2096118953326893,1.2694432204536383,1.293777888440327,1.2953948946174378,1.2974784592460429,1.2990522594761205,1.2964925024941143,1.2854851438940234,1.2671741749475647
-0.03,-0.8298537795760625,-0.7952156286920135,-0.761029754840011,-0.7274181694895552,-0.6946482714169488,-0.6683503140738798,-0.6922916081839848,-1.0625928661575312,-1.1331591577459208,-1.1167901073056914,-1.0631158571762882,-0.9891789096256761,-0.9022884106799414,-0.8069652139940021,-0.7050721621736966,-0.6012623942535027,-0.4947548306353695,-0.3854798353974539,-0.27513338727868625,-0.16538052917251883,-0.053766956725173676,0.057137163073245456,0.1505163255897612,0.317852963299398,0.48654637707315035,0.631295913782138,0.7501079627623501,0.8559732523823413,0.9568695182574417,1.0496010780745753,1.1265107626346829,1.196096757437696,1.2540525771308415,1.2922201313776331,1.3170469061892465,1.339964538229986,1.3561628832178283,1.3625120823687737,1.3580286550112326,1.342612255364264,1.3222398880790647
-0.020000000000000004,-0.7482147005439508,-0.7135616638811713,-0.6796036635045796,-0.6464600295878887,-0.6150843253195368,-0.5982667806910477,-0.6982746769588606,-1.0331449274176383,-1.0414385632660583,-0.9958433791710706,-0.9321378718740507,-0.8481639781421698,-0.7376219523736843,-0.6396800772640494,-0.5369491821239956,-0.4292275402078232,-0.32041312539712713,-0.21038467278258155,-0.09994120496879283,0.011924866337335638,0.12408560609711056,0.22523798129115247,0.37188736267947553,0.5335701195190432,0.6601112058198891,0.7644631380438341,0.8614062198925134,0.9566881540337799,1.048979645485789,1.1282892350443867,1.1982273595408708,1.2647434161450934,1.3201497094660715,1.3636354730500948,1.3986930401703455,1.4220507399245836,1.4324292127136937,1.4308187407018937,1.4178502908298976,1.3964375481731075,1.3740852759353468
-0.010000000000000009,-0.6653062369946487,-0.6309776085752314,-0.5975100408346572,-0.5648899839458374,-0.5349900344962863,-0.5343329865497295,-0.809668409310355,-0.9566630070789115,-0.938233414497832,-0.8955183355330301,-0.8165137754962746,-0.6922836035312678,-0.5716206669483717,-0.46404553841184726,-0.361035604965697,-0.25228312523760216,-0.140756991668179,-0.030271838963880193,0.08049762022942453,0.19268511046899328,0.302555113003288,0.408557536174706,0.5608923329043994,0.6727578014073602,0.7743584851201758,0.8727727323818727,0.9715447834958323,1.071597235868195,1.1629502452078873,1.2390352698367313,1.3067699574550635,1.3667419516791977,1.416371491431342,1.4559273794322498,1.4834167420952848,1.4977442683739375,1.499437557884208,1.4894692197874277,1.4695799889828043,1.4452281543236034,1.4231041945633314
