delta,alpha_-20deg,alpha_-19deg,alpha_-18deg,alpha_-17deg,alpha_-16deg,alpha_-15deg,alpha_-14deg,alpha_-13deg,alpha_-12deg,alpha_-11deg,alpha_-10deg,alpha_-9deg,alpha_-8deg,alpha_-7deg,alpha_-6deg,alpha_-5deg,alpha_-4deg,alpha_-3deg,alpha_-2deg,alpha_-1deg,alpha_0deg,alpha_1deg,alpha_2deg,alpha_3deg,alpha_4deg,alpha_5deg,alpha_6deg,alpha_7deg,alpha_8deg,alpha_9deg,alpha_10deg,alpha_11deg,alpha_12deg,alpha_13deg,alpha_14deg,alpha_15deg,alpha_16deg,alpha_17deg,alpha_18deg,alpha_19deg,alpha_20deg
-0.1,,,,,,,,,,,-1.5527,-1.5978,-1.6138,-1.5961,-1.5496,-1.4837,-1.4009,-1.3065,-1.2047,-1.0985,-0.991,-0.8835,-0.7781,-0.6755,-0.5783,-0.497,-0.5464,-0.4595,,-0.0496,0.0919,0.1917,0.2689,0.4014,0.5561,0.7167,0.8449,0.8323,0.7646,0.7755,0.7898
-0.09,,,,,,,,,,-1.2039,-1.5213,-1.5639,-1.5639,-1.53,-1.4762,-1.4018,-1.3135,-1.2153,-1.1112,-1.0032,-0.8943,-0.7858,-0.6791,-0.5759,-0.4789,-0.4681,-0.4239,-0.2614,-0.0702,0.093,0.198,0.3114,0.4307,0.5581,0.677,0.819,0.8859,0.8546,,0.8939,0.9095
-0.08,,,,,,,,,,-1.4208,-1.5002,-1.5158,-1.4956,-1.4552,-1.3893,-1.3084,-1.2148,-1.1135,-1.0069,-0.8977,-0.7872,-0.6777,-0.5701,-0.4662,-0.3713,,,-0.0549,0.1014,0.2147,0.3298,0.4485,0.5721,0.7008,0.8038,0.926,0.9784,0.9687,0.9948,1.0157,1.0291
-0.07,,,,,,,,,,-1.4279,-1.4522,-1.448,-1.4219,-1.3647,-1.2889,-1.201,-1.1047,-1.0027,-0.8962,-0.7851,-0.671,-0.5594,-0.4506,-0.3465,-0.3056,-0.212,-0.0324,0.1196,0.2756,0.3793,,0.6002,0.7233,0.842,0.9392,1.0234,1.0672,1.0969,1.1233,1.1412,1.1519
-0.06,,,,,,,,,-1.0238,-1.3678,-1.3867,-1.3765,-1.3197,-1.2479,-1.1629,-1.0697,-0.9697,-0.8669,-0.7604,-0.6519,,-0.433,-0.3251,-0.2221,-0.1619,-0.0285,0.1342,0.2846,0.4314,0.5384,0.6468,0.7669,0.8831,0.9794,1.0835,1.1636,1.199,1.2343,1.2421,1.2159,1.1954
-0.05,-1.0071,-0.9733,-0.9398,-0.9044,,,,,-1.2543,-1.3139,-1.3162,-1.265,-1.1963,-1.1138,-1.022,-0.9241,-0.8223,-0.7169,-0.6092,-0.5001,-0.3906,-0.2813,-0.1735,-0.1015,0.0289,0.1884,0.339,0.4914,0.5999,0.7133,0.8309,0.9425,1.0461,1.1477,1.2444,1.2906,1.2639,1.2446,1.2285,1.2151,1.2041
-0.04,-0.6002,-0.5871,,-0.5645,,,,-1.1275,-1.2293,-1.2339,-1.2017,-1.1367,-1.0565,-0.9661,-0.8691,-0.7674,-0.6629,-0.5558,-0.4468,-0.3368,-0.2266,-0.1169,-0.0105,0.0812,0.2441,,0.5513,0.6789,0.7963,0.9121,1.0244,1.1331,1.2152,1.2741,1.2743,1.2634,1.2678,,1.2754,1.2698,1.2565
-0.03,,,,,,,,,,,,,,-0.8077,-0.7065,-0.6025,-0.4954,-0.3866,-0.2763,-0.1655,-0.0547,0.0551,0.1457,0.2914,0.464,0.6189,0.7442,0.8501,0.9535,1.05,1.1308,1.1973,1.2492,1.268,1.2996,1.3298,1.3453,1.3474,1.3416,1.3275,1.3154
-0.02,,,,,,,,-1.0348,-1.0641,-1.0072,-0.9355,-0.8451,-0.7359,-0.6399,-0.5371,-0.4305,-0.3216,-0.2116,-0.1005,,0.1219,0.2275,0.3438,0.5236,0.6562,0.7615,0.8633,0.9618,1.0532,1.1311,1.1965,1.2599,1.3113,1.3544,1.3876,1.4115,1.4183,1.4135,1.4036,1.3875,1.3698
-0.01,,,,,,,-0.7388,-0.9691,-0.964,-0.9217,-0.8144,-0.6825,-0.5641,-0.4629,-0.3593,-0.2519,-0.1424,-0.0316,0.0796,0.1909,0.3011,0.3993,0.572,0.6744,0.7752,0.8752,0.9749,1.0733,1.1631,1.2389,1.3059,1.3598,1.4077,1.4457,1.4732,1.4864,1.4855,1.4741,1.4585,1.4386,1.4227
